Sexo	Estado Civil	Bairro	Cidade	Língua estrangeira	Escola
Feminino	Solteiro(a)	São José da Mata	Campina Grande	Espanhol	Espaço Educacional Carmela Veloso
Feminino	Solteiro(a)	Centro - Esperança	Esperança	Espanhol	ECIEEFM Monsenhor José da Silva Coutinho
Feminino	Solteiro(a)	Centro- Alcantil	Alcantil	Espanhol	EEEFM Professora Maria Cécilia de Castro
Feminino	Solteiro(a)	Jardim Paulistano	Campina Grande	Espanhol	ECIEEM Dr Hortensio de Sousa Ribeiro
Feminino	Solteiro(a)	Bodocongó	Campina Grande	Inglês 	Estadual da Prata
Feminino	Solteiro(a)	Centro - Mogeiro	Mogeiro	Espanhol	EEEM Otávia Silveira
Feminino	Solteiro(a)	Monte Santo	Campina Grande	Inglês 	Escola Normal
Feminino	Solteiro(a)	Acácio Figueiredo	Campina Grande	Espanhol	EEEFM Almirante Antônio Heráclito do Rêgo
Masculino	Solteiro(a)	Bodocongó	Campina Grande	Inglês 	EEEFM Severino Cabral
Masculino	Solteiro(a)	Novo Cruzeiro	Campina Grande	Inglês 	EEEFM Ademar Veloso da Silveira
Masculino	Solteiro(a)	Novo Cruzeiro	Campina Grande	Inglês 	EEEFM Raul Córdula
Feminino	Solteiro(a)	Zona Rural	Gado Bravo	Espanhol	EEEM João da Silva Monteiro
Feminino	Solteiro(a)	Bela Vista - Juazeirinho	Juazeirinho	Inglês 	ECIEEFM Marechal Almeida Barreto
Feminino	Solteiro(a)	Centro- Cubatí	Cubatí	Inglês 	ENCCEJA
Masculino	Solteiro(a)	João Paulo II	Campina Grande	Inglês 	EEEF John Kennedy
Masculino	Solteiro(a)	José Pinheiro	Campina Grande	Espanhol	EEEFM Nenzinha Cunha Lima
Masculino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	Estadual da Prata
Masculino	Solteiro(a)	Bodocongó III	Campina Grande	Espanhol	Colégio Alfredo Dantas
Feminino	Solteiro(a)	Centro - Santa Cecília	Santa Cecília	Espanhol	Escola de Referência em Ensino Médio Justa Barbosa de Sales
Feminino	Solteiro(a)	José Pinheiro	Campina Grande	Espanhol	Escola Normal
Feminino	Solteiro(a)	Francisco Cabral - JS	Campina Grande	Espanhol	EEEFM Ezequiel Fernandes
Feminino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	EEEFM CAIC José Joffily
Masculino	Solteiro(a)	Dinamérica	Campina Grande	Espanhol	ECIEEM Dr Hortensio de Sousa Ribeiro
Feminino	Solteiro(a)	Novo Cruzeiro	Campina Grande	Inglês 	EEEFM Raul Córdula
Feminino	Solteiro(a)	Centro - Alagoa Nova	Alagoa Nova	Inglês 	EEEFM Monsenhor José Borges de Carvalho
Masculino	Solteiro(a)	São José da Mata	Campina Grande	Inglês 	EEEFM José Miguel Leão
Feminino	Solteiro(a)	Catolé	Campina Grande	Inglês 	Estadual da Prata
Feminino	Solteiro(a)	Jardim Etelvina - Pocinhos	Pocinhos	Inglês 	IFPB
Feminino	Solteiro(a)	Bela Vista	Campina Grande	Inglês 	EEEFM Severino Cabral
Feminino	Solteiro(a)	Bela Vista	Campina Grande	Inglês 	EEEFM Monte Carmelo
Feminino	Solteiro(a)	São José da Mata	Campina Grande	Inglês 	Espaço Educacional Carmela Veloso
Feminino	Solteiro(a)	Liberdade	Campina Grande	Inglês 	Estadual da Prata
Masculino	Solteiro(a)	Catolé	Campina Grande	Inglês 	ECIEEM Dr Hortensio de Sousa Ribeiro
Masculino	Solteiro(a)	Severino Cabral	Campina Grande	Inglês 	Estadual da Prata
Feminino	Solteiro(a)	Santa Cruz	Campina Grande	Inglês 	IFPB
Masculino	Solteiro(a)	Centro - Esperança	Esperança	Inglês 	ECIEEFM Monsenhor José da Silva Coutinho
Masculino	Solteiro(a)	Malvinas	Campina Grande	Inglês 	IFPB
Feminino	Solteiro(a)	Lagoa de Dentro	Campina Grande	Inglês 	Estadual da Prata
