gender	marital_st	neighborhood	city	language_opt	school	state	country
Masculino	Solteiro(a)	João Paulo II	Campina Grande	Inglês 	EEEF John Kennedy	Paraiba	Brasil
Masculino	Solteiro(a)	José Pinheiro	Campina Grande	Espanhol	EEEFM Nenzinha Cunha Lima	Paraiba	Brasil
Masculino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	Estadual da Prata	Paraiba	Brasil
Masculino	Solteiro(a)	Bodocongó III	Campina Grande	Espanhol	Colégio Alfredo Dantas	Paraiba	Brasil
Feminino	Solteiro(a)	José Pinheiro	Campina Grande	Espanhol	Escola Normal	Paraiba	Brasil
Feminino	Solteiro(a)	Francisco Cabral - JS	Campina Grande	Espanhol	EEEFM Ezequiel Fernandes	Paraiba	Brasil
Feminino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	EEEFM CAIC José Joffily	Paraiba	Brasil
Masculino	Solteiro(a)	Dinamérica	Campina Grande	Espanhol	ECIEEM Dr Hortensio de Sousa Ribeiro	Paraiba	Brasil
Feminino	Solteiro(a)	Novo Cruzeiro	Campina Grande	Inglês 	EEEFM Raul Córdula	Paraiba	Brasil
Masculino	Solteiro(a)	São José da Mata	Campina Grande	Inglês 	EEEFM José Miguel Leão	Paraiba	Brasil
Feminino	Solteiro(a)	Catolé	Campina Grande	Inglês 	Estadual da Prata	Paraiba	Brasil
Feminino	Solteiro(a)	Bela Vista	Campina Grande	Inglês 	EEEFM Severino Cabral	Paraiba	Brasil
Feminino	Solteiro(a)	Bela Vista	Campina Grande	Inglês 	EEEFM Monte Carmelo	Paraiba	Brasil
Feminino	Solteiro(a)	São José da Mata	Campina Grande	Inglês 	Espaço Educacional Carmela Veloso	Paraiba	Brasil
Feminino	Solteiro(a)	Liberdade	Campina Grande	Inglês 	Estadual da Prata	Paraiba	Brasil
Masculino	Solteiro(a)	Catolé	Campina Grande	Inglês 	ECIEEM Dr Hortensio de Sousa Ribeiro	Paraiba	Brasil
Masculino	Solteiro(a)	Severino Cabral	Campina Grande	Inglês 	Estadual da Prata	Paraiba	Brasil
Feminino	Solteiro(a)	Santa Cruz	Campina Grande	Inglês 	IFPB	Paraiba	Brasil
Masculino	Solteiro(a)	Malvinas	Campina Grande	Inglês 	IFPB	Paraiba	Brasil
Feminino	Solteiro(a)	Lagoa de Dentro	Campina Grande	Inglês 	Estadual da Prata	Paraiba	Brasil
