,bairro,cidade,estado,pais,helper,latitude,longitude
51,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
52,Santa Rosa,Campina Grande,Paraiba,Brasil,Santa Rosa Campina Grande Paraiba Brasil,-7.2337088,-35.9065523
53,Monte Santo,Campina Grande,Paraiba,Brasil,Monte Santo Campina Grande Paraiba Brasil,-7.2121449,-35.9000985
54,Monte Santo,Campina Grande,Paraiba,Brasil,Monte Santo Campina Grande Paraiba Brasil,-7.2121449,-35.9000985
55,presidente medici,Campina Grande,Paraiba,Brasil,presidente medici Campina Grande Paraiba Brasil,-7.2509238,-35.9106461
56,tambor,Campina Grande,Paraiba,Brasil,tambor Campina Grande Paraiba Brasil,-7.2501279,-35.8882849
57,Santa Cruz,Campina Grande,Paraiba,Brasil,Santa Cruz Campina Grande Paraiba Brasil,-7.2447219,-35.9100413
58,Liberdade,Campina Grande,Paraiba,Brasil,Liberdade Campina Grande Paraiba Brasil,-7.2364481,-35.8925921
59,Palmeira,Campina Grande,Paraiba,Brasil,Palmeira Campina Grande Paraiba Brasil,-7.2109874,-35.8937262
60,Palmeira,Campina Grande,Paraiba,Brasil,Palmeira Campina Grande Paraiba Brasil,-7.2109874,-35.8937262
61,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
62,Jardim Paulistano,Campina Grande,Paraiba,Brasil,Jardim Paulistano Campina Grande Paraiba Brasil,-7.2501219,-35.8955181
63,Palmeira,Campina Grande,Paraiba,Brasil,Palmeira Campina Grande Paraiba Brasil,-7.2109874,-35.8937262
64,José Pinheiro,Campina Grande,Paraiba,Brasil,José Pinheiro Campina Grande Paraiba Brasil,-7.2256343,-35.8722073
65,Jardim Tavares,Campina Grande,Paraiba,Brasil,Jardim Tavares Campina Grande Paraiba Brasil,-7.2047824,-35.870843
66,Centro,Campina Grande,Paraiba,Brasil,Centro Campina Grande Paraiba Brasil,-7.2188586,-35.8819448
67,Centenário,Campina Grande,Paraiba,Brasil,Centenário Campina Grande Paraiba Brasil,-7.2271252,-35.9043288
68,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
69,Cruzeiro,Campina Grande,Paraiba,Brasil,Cruzeiro Campina Grande Paraiba Brasil,-7.2489388,-35.9025322
70,Santa Cruz,Campina Grande,Paraiba,Brasil,Santa Cruz Campina Grande Paraiba Brasil,-7.2447219,-35.9100413
71,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
72,Monte Castelo,Campina Grande,Paraiba,Brasil,Monte Castelo Campina Grande Paraiba Brasil,-7.2200227,-35.8657216
73,Liberdade,Campina Grande,Paraiba,Brasil,Liberdade Campina Grande Paraiba Brasil,-7.2364481,-35.8925921
74,Quarenta,Campina Grande,Paraiba,Brasil,Quarenta Campina Grande Paraiba Brasil,-7.2320028,-35.8980388
75,Mutirão,Campina Grande,Paraiba,Brasil,Mutirão Campina Grande Paraiba Brasil,-7.2235843,-35.9341402
76,Cruzeiro,Campina Grande,Paraiba,Brasil,Cruzeiro Campina Grande Paraiba Brasil,-7.2489388,-35.9025322
77,Malvinas,Campina Grande,Paraiba,Brasil,Malvinas Campina Grande Paraiba Brasil,-7.2386284,-35.934277
